freq_GHz,intensity,intensity_tep,difference
50.0,0.0,0.0,0.0
56.57,0.0,0.0,0.0
63.13,0.0,0.0,0.0
69.7,0.0,0.0,0.0
76.26,0.0,0.0,0.0
82.83,0.0,0.0,0.0
89.39,0.0,0.0,0.0
95.96,0.0,0.0,0.0
102.53,0.0,0.0,0.0
109.09,0.0,0.0,0.0
115.66,0.0,0.0,0.0
122.22,0.0,0.0,0.0
128.79,0.0,0.0,0.0
135.35,0.0,0.0,0.0
141.92,0.0,0.0,0.0
148.48,0.0,0.0,0.0
155.05,0.0,0.0,0.0
161.62,0.0,0.0,0.0
168.18,0.0,0.0,0.0
174.75,0.0,0.0,0.0
181.31,0.0,0.0,0.0
187.88,0.0,0.0,0.0
194.44,0.0,0.0,0.0
201.01,0.0,0.0,0.0
207.58,0.0,0.0,0.0
214.14,0.0,0.0,0.0
220.71,0.0,0.0,0.0
227.27,0.0,0.0,0.0
233.84,0.0,0.0,0.0
240.4,0.0,0.0,0.0
246.97,0.0,0.0,0.0
253.54,0.0,0.0,0.0
260.1,0.0,0.0,0.0
266.67,0.0,0.0,0.0
273.23,0.0,0.0,0.0
279.8,0.0,0.0,0.0
286.36,0.0,0.0,0.0
292.93,0.0,0.0,0.0
299.49,0.0,0.0,0.0
306.06,0.0,0.0,0.0
312.63,0.0,0.0,0.0
319.19,0.0,0.0,0.0
325.76,0.0,0.0,0.0
332.32,0.0,0.0,0.0
338.89,0.0,0.0,0.0
345.45,0.0,0.0,0.0
352.02,0.0,0.0,0.0
358.59,0.0,0.0,0.0
365.15,0.0,0.0,0.0
371.72,0.0,0.0,0.0
378.28,0.0,0.0,0.0
384.85,0.0,0.0,0.0
391.41,0.0,0.0,0.0
397.98,0.0,0.0,0.0
404.55,0.0,0.0,0.0
411.11,0.0,0.0,0.0
417.68,0.0,0.0,0.0
424.24,0.0,0.0,0.0
430.81,0.0,0.0,0.0
437.37,0.0,0.0,0.0
443.94,0.0,0.0,0.0
450.51,0.0,0.0,0.0
457.07,0.0,0.0,0.0
463.64,0.0,0.0,0.0
470.2,0.0,0.0,0.0
476.77,0.0,0.0,0.0
483.33,0.0,0.0,0.0
489.9,0.0,0.0,0.0
496.46,0.0,0.0,0.0
503.03,0.0,0.0,0.0
509.6,0.0,0.0,0.0
516.16,0.0,0.0,0.0
522.73,0.0,0.0,0.0
529.29,0.0,0.0,0.0
535.86,0.0,0.0,0.0
542.42,0.0,0.0,0.0
548.99,0.0,0.0,0.0
555.56,0.0,0.0,0.0
562.12,0.0,0.0,0.0
568.69,0.0,0.0,0.0
575.25,0.0,0.0,0.0
581.82,0.0,0.0,0.0
588.38,0.0,0.0,0.0
594.95,0.0,0.0,0.0
601.52,0.0,0.0,0.0
608.08,0.0,0.0,0.0
614.65,0.0,0.0,0.0
621.21,0.0,0.0,0.0
627.78,0.0,0.0,0.0
634.34,0.0,0.0,0.0
640.91,0.0,0.0,0.0
647.47,0.0,0.0,0.0
654.04,0.0,0.0,0.0
660.61,0.0,0.0,0.0
667.17,0.0,0.0,0.0
673.74,0.0,0.0,0.0
680.3,0.0,0.0,0.0
686.87,0.0,0.0,0.0
693.43,0.0,0.0,0.0
700.0,0.0,0.0,0.0
