k_Mpc,P_R
0.0001,2.610257e-09
0.00011,2.601771e-09
0.00012,2.593313e-09
0.000132,2.584883e-09
0.000145,2.576479e-09
0.000159,2.568104e-09
0.000175,2.559755e-09
0.000192,2.551434e-09
0.00021,2.543139e-09
0.000231,2.534872e-09
0.000254,2.526631e-09
0.000278,2.518417e-09
0.000305,2.51023e-09
0.000335,2.50207e-09
0.000368,2.493936e-09
0.000404,2.485828e-09
0.000443,2.477747e-09
0.000486,2.469692e-09
0.000534,2.461664e-09
0.000586,2.453661e-09
0.000643,2.445684e-09
0.000705,2.437734e-09
0.000774,2.429809e-09
0.00085,2.42191e-09
0.000933,2.414037e-09
0.001024,2.406189e-09
0.001123,2.398367e-09
0.001233,2.39057e-09
0.001353,2.382798e-09
0.001485,2.375052e-09
0.00163,2.367331e-09
0.001789,2.359635e-09
0.001963,2.351964e-09
0.002154,2.344318e-09
0.002364,2.336697e-09
0.002595,2.329101e-09
0.002848,2.321529e-09
0.003126,2.313982e-09
0.00343,2.30646e-09
0.003765,2.298962e-09
0.004132,2.291488e-09
0.004535,2.284039e-09
0.004977,2.276613e-09
0.005462,2.269212e-09
0.005995,2.261836e-09
0.006579,2.254483e-09
0.007221,2.247154e-09
0.007925,2.239848e-09
0.008697,2.232567e-09
0.009545,2.225309e-09
0.010476,2.218075e-09
0.011498,2.210864e-09
0.012619,2.203677e-09
0.013849,2.196513e-09
0.015199,2.189372e-09
0.016681,2.182255e-09
0.018307,2.175161e-09
0.020092,2.168089e-09
0.022051,2.161041e-09
0.024201,2.154016e-09
0.026561,2.147013e-09
0.029151,2.140034e-09
0.031993,2.133077e-09
0.035112,2.126142e-09
0.038535,2.11923e-09
0.042292,2.112341e-09
0.046416,2.105474e-09
0.050941,2.098629e-09
0.055908,2.091807e-09
0.061359,2.085007e-09
0.067342,2.078229e-09
0.073907,2.071473e-09
0.081113,2.064739e-09
0.089022,2.058026e-09
0.097701,2.051336e-09
0.107227,2.044667e-09
0.117681,2.03802e-09
0.129155,2.031395e-09
0.141747,2.024791e-09
0.155568,2.018209e-09
0.170735,2.011648e-09
0.187382,2.005108e-09
0.205651,1.99859e-09
0.225702,1.992093e-09
0.247708,1.985616e-09
0.271859,1.979161e-09
0.298365,1.972727e-09
0.327455,1.966314e-09
0.359381,1.959922e-09
0.394421,1.953551e-09
0.432876,1.9472e-09
0.475081,1.94087e-09
0.521401,1.93456e-09
0.572237,1.928271e-09
0.628029,1.922003e-09
0.689261,1.915754e-09
0.756463,1.909526e-09
0.830218,1.903319e-09
0.911163,1.897131e-09
1.0,1.890964e-09
